"Name","Label","Type","Value","Value label"
"array1_8","[Militära konflikter] Hur allvarligt tycker du att följande problem är just nu?","integer","4","4"
"array1_8","[Militära konflikter] Hur allvarligt tycker du att följande problem är just nu?","integer","5","5"
"array1_8","[Militära konflikter] Hur allvarligt tycker du att följande problem är just nu?","integer","6","6"
"array1_8","[Militära konflikter] Hur allvarligt tycker du att följande problem är just nu?","integer","7","7"
"array1_8","[Militära konflikter] Hur allvarligt tycker du att följande problem är just nu?","integer","8","8"
"array1_8","[Militära konflikter] Hur allvarligt tycker du att följande problem är just nu?","integer","9","9"
"array1_8","[Militära konflikter] Hur allvarligt tycker du att följande problem är just nu?","integer","10","10 Ett extremt allvarligt problem"
"array1_9","[Globala epidemier] Hur allvarligt tycker du att följande problem är just nu?","integer","1","1 Inte alls ett allvarligt problem"
"array1_9","[Globala epidemier] Hur allvarligt tycker du att följande problem är just nu?","integer","2","2"
"array1_9","[Globala epidemier] Hur allvarligt tycker du att följande problem är just nu?","integer","3","3"
"array1_9","[Globala epidemier] Hur allvarligt tycker du att följande problem är just nu?","integer","4","4"
"array1_9","[Globala epidemier] Hur allvarligt tycker du att följande problem är just nu?","integer","5","5"
"array1_9","[Globala epidemier] Hur allvarligt tycker du att följande problem är just nu?","integer","6","6"
"array1_9","[Globala epidemier] Hur allvarligt tycker du att följande problem är just nu?","integer","7","7"
"array1_9","[Globala epidemier] Hur allvarligt tycker du att följande problem är just nu?","integer","8","8"
"array1_9","[Globala epidemier] Hur allvarligt tycker du att följande problem är just nu?","integer","9","9"
"array1_9","[Globala epidemier] Hur allvarligt tycker du att följande problem är just nu?","integer","10","10 Ett extremt allvarligt problem"
"array1_10","[Ökade sociala klyftor] Hur allvarligt tycker du att följande problem är just nu?","integer","1","1 Inte alls ett allvarligt problem"
"array1_10","[Ökade sociala klyftor] Hur allvarligt tycker du att följande problem är just nu?","integer","2","2"
"array1_10","[Ökade sociala klyftor] Hur allvarligt tycker du att följande problem är just nu?","integer","3","3"
"array1_10","[Ökade sociala klyftor] Hur allvarligt tycker du att följande problem är just nu?","integer","4","4"
"array1_10","[Ökade sociala klyftor] Hur allvarligt tycker du att följande problem är just nu?","integer","5","5"
"array1_10","[Ökade sociala klyftor] Hur allvarligt tycker du att följande problem är just nu?","integer","6","6"
"array1_10","[Ökade sociala klyftor] Hur allvarligt tycker du att följande problem är just nu?","integer","7","7"
"array1_10","[Ökade sociala klyftor] Hur allvarligt tycker du att följande problem är just nu?","integer","8","8"
"array1_10","[Ökade sociala klyftor] Hur allvarligt tycker du att följande problem är just nu?","integer","9","9"
"array1_10","[Ökade sociala klyftor] Hur allvarligt tycker du att följande problem är just nu?","integer","10","10 Ett extremt allvarligt problem"
"q3","Man talar ibland om att politiska åsikter kan placeras in på en vänster–högerskala. Var någonstans skulle du placera dig själv på en sådan skala?","integer","1","Klart till vänster"
"q3","Man talar ibland om att politiska åsikter kan placeras in på en vänster–högerskala. Var någonstans skulle du placera dig själv på en sådan skala?","integer","2","Något till vänster"
"q3","Man talar ibland om att politiska åsikter kan placeras in på en vänster–högerskala. Var någonstans skulle du placera dig själv på en sådan skala?","integer","3","Varken till vänster eller till höger"
"q3","Man talar ibland om att politiska åsikter kan placeras in på en vänster–högerskala. Var någonstans skulle du placera dig själv på en sådan skala?","integer","4","Något till höger"
"q3","Man talar ibland om att politiska åsikter kan placeras in på en vänster–högerskala. Var någonstans skulle du placera dig själv på en sådan skala?","integer","5","Klart till höger"
"q4","Planerar du att rösta i årets Europaparlamentsval den 9 juni?","integer","1","Ja"
"q4","Planerar du att rösta i årets Europaparlamentsval den 9 juni?","integer","2","Obeslutsam"
"q4","Planerar du att rösta i årets Europaparlamentsval den 9 juni?","integer","3","Nej"
"q5","Om du planerar att rösta i Europaparlamentsvalet, är du säker på vilket parti du ska rösta på eller tvekar du mellan olika partier?","integer","1","Ja, jag är säker"
"q5","Om du planerar att rösta i Europaparlamentsvalet, är du säker på vilket parti du ska rösta på eller tvekar du mellan olika partier?","integer","2","Nej, jag tvekar mellan olika partier"
"q6","Vilket parti skulle du rösta på om det vore val till Europaparlamentet idag?","integer","1","Vänsterpartiet"
"q6","Vilket parti skulle du rösta på om det vore val till Europaparlamentet idag?","integer","2","Liberalerna"
"q6","Vilket parti skulle du rösta på om det vore val till Europaparlamentet idag?","integer","3","Miljöpartiet"
"q6","Vilket parti skulle du rösta på om det vore val till Europaparlamentet idag?","integer","4","Socialdemokraterna"
"q6","Vilket parti skulle du rösta på om det vore val till Europaparlamentet idag?","integer","5","Moderaterna"
"q6","Vilket parti skulle du rösta på om det vore val till Europaparlamentet idag?","integer","6","Sverigedemokraterna"
"q6","Vilket parti skulle du rösta på om det vore val till Europaparlamentet idag?","integer","7","Centerpartiet"
"q6","Vilket parti skulle du rösta på om det vore val till Europaparlamentet idag?","integer","8","Kristdemokraterna"
"q6","Vilket parti skulle du rösta på om det vore val till Europaparlamentet idag?","integer","9","Annat"
